Year,Position,Driver,Car,Laps,Points
1950,1,Lando NorrisNOR,McLaren Mercedes,58,25
1950,2,Carlos SainzSAI,Ferrari,58,18
1950,3,Charles LeclercLEC,Ferrari,58,15
1950,4,Lewis HamiltonHAM,Mercedes,58,12
1950,5,George RussellRUS,Mercedes,58,10
1950,6,Max VerstappenVER,Red Bull Racing Honda RBPT,58,8
1950,7,Pierre GaslyGAS,Alpine Renault,58,6
1950,8,Nico HulkenbergHUL,Haas Ferrari,58,4
1950,9,Fernando AlonsoALO,Aston Martin Aramco Mercedes,58,2
1950,10,Oscar PiastriPIA,McLaren Mercedes,58,1
1950,11,Alexander AlbonALB,Williams Mercedes,57,0
1950,12,Yuki TsunodaTSU,RB Honda RBPT,57,0
1950,13,Zhou GuanyuZHO,Kick Sauber Ferrari,57,0
1950,14,Lance StrollSTR,Aston Martin Aramco Mercedes,57,0
1950,15,Jack DoohanDOO,Alpine Renault,57,0
1950,16,Kevin MagnussenMAG,Haas Ferrari,57,0
1950,17,Liam LawsonLAW,RB Honda RBPT,55,0
1950,NC,Valtteri BottasBOT,Kick Sauber Ferrari,30,0
1950,NC,Franco ColapintoCOL,Williams Mercedes,26,0
1950,NC,Sergio PerezPER,Red Bull Racing Honda RBPT,0,0
1951,1,Lando NorrisNOR,McLaren Mercedes,58,25
1951,2,Carlos SainzSAI,Ferrari,58,18
1951,3,Charles LeclercLEC,Ferrari,58,15
1951,4,Lewis HamiltonHAM,Mercedes,58,12
1951,5,George RussellRUS,Mercedes,58,10
1951,6,Max VerstappenVER,Red Bull Racing Honda RBPT,58,8
1951,7,Pierre GaslyGAS,Alpine Renault,58,6
1951,8,Nico HulkenbergHUL,Haas Ferrari,58,4
1951,9,Fernando AlonsoALO,Aston Martin Aramco Mercedes,58,2
1951,10,Oscar PiastriPIA,McLaren Mercedes,58,1
1951,11,Alexander AlbonALB,Williams Mercedes,57,0
1951,12,Yuki TsunodaTSU,RB Honda RBPT,57,0
1951,13,Zhou GuanyuZHO,Kick Sauber Ferrari,57,0
1951,14,Lance StrollSTR,Aston Martin Aramco Mercedes,57,0
1951,15,Jack DoohanDOO,Alpine Renault,57,0
1951,16,Kevin MagnussenMAG,Haas Ferrari,57,0
1951,17,Liam LawsonLAW,RB Honda RBPT,55,0
1951,NC,Valtteri BottasBOT,Kick Sauber Ferrari,30,0
1951,NC,Franco ColapintoCOL,Williams Mercedes,26,0
1951,NC,Sergio PerezPER,Red Bull Racing Honda RBPT,0,0
1952,1,Lando NorrisNOR,McLaren Mercedes,58,25
1952,2,Carlos SainzSAI,Ferrari,58,18
1952,3,Charles LeclercLEC,Ferrari,58,15
1952,4,Lewis HamiltonHAM,Mercedes,58,12
1952,5,George RussellRUS,Mercedes,58,10
1952,6,Max VerstappenVER,Red Bull Racing Honda RBPT,58,8
1952,7,Pierre GaslyGAS,Alpine Renault,58,6
1952,8,Nico HulkenbergHUL,Haas Ferrari,58,4
1952,9,Fernando AlonsoALO,Aston Martin Aramco Mercedes,58,2
1952,10,Oscar PiastriPIA,McLaren Mercedes,58,1
1952,11,Alexander AlbonALB,Williams Mercedes,57,0
1952,12,Yuki TsunodaTSU,RB Honda RBPT,57,0
1952,13,Zhou GuanyuZHO,Kick Sauber Ferrari,57,0
1952,14,Lance StrollSTR,Aston Martin Aramco Mercedes,57,0
1952,15,Jack DoohanDOO,Alpine Renault,57,0
1952,16,Kevin MagnussenMAG,Haas Ferrari,57,0
1952,17,Liam LawsonLAW,RB Honda RBPT,55,0
1952,NC,Valtteri BottasBOT,Kick Sauber Ferrari,30,0
1952,NC,Franco ColapintoCOL,Williams Mercedes,26,0
1952,NC,Sergio PerezPER,Red Bull Racing Honda RBPT,0,0
1953,1,Lando NorrisNOR,McLaren Mercedes,58,25
1953,2,Carlos SainzSAI,Ferrari,58,18
1953,3,Charles LeclercLEC,Ferrari,58,15
1953,4,Lewis HamiltonHAM,Mercedes,58,12
1953,5,George RussellRUS,Mercedes,58,10
1953,6,Max VerstappenVER,Red Bull Racing Honda RBPT,58,8
1953,7,Pierre GaslyGAS,Alpine Renault,58,6
1953,8,Nico HulkenbergHUL,Haas Ferrari,58,4
1953,9,Fernando AlonsoALO,Aston Martin Aramco Mercedes,58,2
1953,10,Oscar PiastriPIA,McLaren Mercedes,58,1
1953,11,Alexander AlbonALB,Williams Mercedes,57,0
1953,12,Yuki TsunodaTSU,RB Honda RBPT,57,0
1953,13,Zhou GuanyuZHO,Kick Sauber Ferrari,57,0
1953,14,Lance StrollSTR,Aston Martin Aramco Mercedes,57,0
1953,15,Jack DoohanDOO,Alpine Renault,57,0
1953,16,Kevin MagnussenMAG,Haas Ferrari,57,0
1953,17,Liam LawsonLAW,RB Honda RBPT,55,0
1953,NC,Valtteri BottasBOT,Kick Sauber Ferrari,30,0
1953,NC,Franco ColapintoCOL,Williams Mercedes,26,0
1953,NC,Sergio PerezPER,Red Bull Racing Honda RBPT,0,0
1954,1,Lando NorrisNOR,McLaren Mercedes,58,25
1954,2,Carlos SainzSAI,Ferrari,58,18
1954,3,Charles LeclercLEC,Ferrari,58,15
1954,4,Lewis HamiltonHAM,Mercedes,58,12
1954,5,George RussellRUS,Mercedes,58,10
1954,6,Max VerstappenVER,Red Bull Racing Honda RBPT,58,8
1954,7,Pierre GaslyGAS,Alpine Renault,58,6
1954,8,Nico HulkenbergHUL,Haas Ferrari,58,4
1954,9,Fernando AlonsoALO,Aston Martin Aramco Mercedes,58,2
1954,10,Oscar PiastriPIA,McLaren Mercedes,58,1
1954,11,Alexander AlbonALB,Williams Mercedes,57,0
1954,12,Yuki TsunodaTSU,RB Honda RBPT,57,0
1954,13,Zhou GuanyuZHO,Kick Sauber Ferrari,57,0
1954,14,Lance StrollSTR,Aston Martin Aramco Mercedes,57,0
1954,15,Jack DoohanDOO,Alpine Renault,57,0
1954,16,Kevin MagnussenMAG,Haas Ferrari,57,0
1954,17,Liam LawsonLAW,RB Honda RBPT,55,0
1954,NC,Valtteri BottasBOT,Kick Sauber Ferrari,30,0
1954,NC,Franco ColapintoCOL,Williams Mercedes,26,0
1954,NC,Sergio PerezPER,Red Bull Racing Honda RBPT,0,0
1955,1,Lando NorrisNOR,McLaren Mercedes,58,25
1955,2,Carlos SainzSAI,Ferrari,58,18
1955,3,Charles LeclercLEC,Ferrari,58,15
1955,4,Lewis HamiltonHAM,Mercedes,58,12
1955,5,George RussellRUS,Mercedes,58,10
1955,6,Max VerstappenVER,Red Bull Racing Honda RBPT,58,8
1955,7,Pierre GaslyGAS,Alpine Renault,58,6
1955,8,Nico HulkenbergHUL,Haas Ferrari,58,4
1955,9,Fernando AlonsoALO,Aston Martin Aramco Mercedes,58,2
1955,10,Oscar PiastriPIA,McLaren Mercedes,58,1
1955,11,Alexander AlbonALB,Williams Mercedes,57,0
1955,12,Yuki TsunodaTSU,RB Honda RBPT,57,0
1955,13,Zhou GuanyuZHO,Kick Sauber Ferrari,57,0
1955,14,Lance StrollSTR,Aston Martin Aramco Mercedes,57,0
1955,15,Jack DoohanDOO,Alpine Renault,57,0
1955,16,Kevin MagnussenMAG,Haas Ferrari,57,0
1955,17,Liam LawsonLAW,RB Honda RBPT,55,0
1955,NC,Valtteri BottasBOT,Kick Sauber Ferrari,30,0
1955,NC,Franco ColapintoCOL,Williams Mercedes,26,0
1955,NC,Sergio PerezPER,Red Bull Racing Honda RBPT,0,0
1956,1,Lando NorrisNOR,McLaren Mercedes,58,25
1956,2,Carlos SainzSAI,Ferrari,58,18
1956,3,Charles LeclercLEC,Ferrari,58,15
1956,4,Lewis HamiltonHAM,Mercedes,58,12
1956,5,George RussellRUS,Mercedes,58,10
1956,6,Max VerstappenVER,Red Bull Racing Honda RBPT,58,8
1956,7,Pierre GaslyGAS,Alpine Renault,58,6
1956,8,Nico HulkenbergHUL,Haas Ferrari,58,4
1956,9,Fernando AlonsoALO,Aston Martin Aramco Mercedes,58,2
1956,10,Oscar PiastriPIA,McLaren Mercedes,58,1
1956,11,Alexander AlbonALB,Williams Mercedes,57,0
1956,12,Yuki TsunodaTSU,RB Honda RBPT,57,0
1956,13,Zhou GuanyuZHO,Kick Sauber Ferrari,57,0
1956,14,Lance StrollSTR,Aston Martin Aramco Mercedes,57,0
1956,15,Jack DoohanDOO,Alpine Renault,57,0
1956,16,Kevin MagnussenMAG,Haas Ferrari,57,0
1956,17,Liam LawsonLAW,RB Honda RBPT,55,0
1956,NC,Valtteri BottasBOT,Kick Sauber Ferrari,30,0
1956,NC,Franco ColapintoCOL,Williams Mercedes,26,0
1956,NC,Sergio PerezPER,Red Bull Racing Honda RBPT,0,0
1957,1,Lando NorrisNOR,McLaren Mercedes,58,25
1957,2,Carlos SainzSAI,Ferrari,58,18
1957,3,Charles LeclercLEC,Ferrari,58,15
1957,4,Lewis HamiltonHAM,Mercedes,58,12
1957,5,George RussellRUS,Mercedes,58,10
1957,6,Max VerstappenVER,Red Bull Racing Honda RBPT,58,8
1957,7,Pierre GaslyGAS,Alpine Renault,58,6
1957,8,Nico HulkenbergHUL,Haas Ferrari,58,4
1957,9,Fernando AlonsoALO,Aston Martin Aramco Mercedes,58,2
1957,10,Oscar PiastriPIA,McLaren Mercedes,58,1
1957,11,Alexander AlbonALB,Williams Mercedes,57,0
1957,12,Yuki TsunodaTSU,RB Honda RBPT,57,0
1957,13,Zhou GuanyuZHO,Kick Sauber Ferrari,57,0
1957,14,Lance StrollSTR,Aston Martin Aramco Mercedes,57,0
1957,15,Jack DoohanDOO,Alpine Renault,57,0
1957,16,Kevin MagnussenMAG,Haas Ferrari,57,0
1957,17,Liam LawsonLAW,RB Honda RBPT,55,0
1957,NC,Valtteri BottasBOT,Kick Sauber Ferrari,30,0
1957,NC,Franco ColapintoCOL,Williams Mercedes,26,0
1957,NC,Sergio PerezPER,Red Bull Racing Honda RBPT,0,0
1958,1,Lando NorrisNOR,McLaren Mercedes,58,25
1958,2,Carlos SainzSAI,Ferrari,58,18
1958,3,Charles LeclercLEC,Ferrari,58,15
1958,4,Lewis HamiltonHAM,Mercedes,58,12
1958,5,George RussellRUS,Mercedes,58,10
1958,6,Max VerstappenVER,Red Bull Racing Honda RBPT,58,8
1958,7,Pierre GaslyGAS,Alpine Renault,58,6
1958,8,Nico HulkenbergHUL,Haas Ferrari,58,4
1958,9,Fernando AlonsoALO,Aston Martin Aramco Mercedes,58,2
1958,10,Oscar PiastriPIA,McLaren Mercedes,58,1
1958,11,Alexander AlbonALB,Williams Mercedes,57,0
1958,12,Yuki TsunodaTSU,RB Honda RBPT,57,0
1958,13,Zhou GuanyuZHO,Kick Sauber Ferrari,57,0
1958,14,Lance StrollSTR,Aston Martin Aramco Mercedes,57,0
1958,15,Jack DoohanDOO,Alpine Renault,57,0
1958,16,Kevin MagnussenMAG,Haas Ferrari,57,0
1958,17,Liam LawsonLAW,RB Honda RBPT,55,0
1958,NC,Valtteri BottasBOT,Kick Sauber Ferrari,30,0
1958,NC,Franco ColapintoCOL,Williams Mercedes,26,0
1958,NC,Sergio PerezPER,Red Bull Racing Honda RBPT,0,0
1959,1,Lando NorrisNOR,McLaren Mercedes,58,25
1959,2,Carlos SainzSAI,Ferrari,58,18
