Year,Grand Prix,Date,Winner,Car,Laps
1950,Great Britain,1950-05-13,Nino FarinaFAR,Alfa Romeo,70
1950,Monaco,1950-05-21,Juan Manuel FangioFAN,Alfa Romeo,100
1950,Indianapolis,1950-05-30,Johnnie  ParsonsPAR,Kurtis Kraft Offenhauser,138
1950,Switzerland,04 Jun 1950,Nino FarinaFAR,Alfa Romeo,42
1950,Belgium,18 Jun 1950,Juan Manuel FangioFAN,Alfa Romeo,35
1950,France,02 Jul 1950,Juan Manuel FangioFAN,Alfa Romeo,64
1950,Italy,03 Sep 1950,Nino FarinaFAR,Alfa Romeo,80
1951,Switzerland,1951-05-27,Juan Manuel FangioFAN,Alfa Romeo,42
1951,Indianapolis,1951-05-30,Lee WallardWAL,Kurtis Kraft Offenhauser,200
1951,Belgium,17 Jun 1951,Nino FarinaFAR,Alfa Romeo,36
1951,France,01 Jul 1951,Juan Manuel FangioFAN,Alfa Romeo,77
1951,Great Britain,14 Jul 1951,Jose Froilan GonzalezGON,Ferrari,90
1951,Germany,29 Jul 1951,Alberto AscariASC,Ferrari,20
1951,Italy,16 Sep 1951,Alberto AscariASC,Ferrari,80
1951,Spain,28 Oct 1951,Juan Manuel FangioFAN,Alfa Romeo,70
1952,Switzerland,1952-05-18,Piero  TaruffiTAR,Ferrari,62
1952,Indianapolis,1952-05-30,Troy RuttmanRUT,Kuzma Offenhauser,200
1952,Belgium,22 Jun 1952,Alberto AscariASC,Ferrari,36
1952,France,06 Jul 1952,Alberto AscariASC,Ferrari,77
1952,Great Britain,19 Jul 1952,Alberto AscariASC,Ferrari,85
1952,Germany,03 Aug 1952,Alberto AscariASC,Ferrari,18
1952,Netherlands,17 Aug 1952,Alberto AscariASC,Ferrari,90
1952,Italy,07 Sep 1952,Alberto AscariASC,Ferrari,80
1953,Argentina,18 Jan 1953,Alberto AscariASC,Ferrari,97
1953,Indianapolis,1953-05-30,Bill  Vukovich VUK,Kurtis Kraft Offenhauser,200
1953,Netherlands,07 Jun 1953,Alberto AscariASC,Ferrari,90
1953,Belgium,21 Jun 1953,Alberto AscariASC,Ferrari,36
1953,France,05 Jul 1953,Mike HawthornHAW,Ferrari,60
1953,Great Britain,18 Jul 1953,Alberto AscariASC,Ferrari,90
1953,Germany,02 Aug 1953,Nino FarinaFAR,Ferrari,18
1953,Switzerland,23 Aug 1953,Alberto AscariASC,Ferrari,65
1953,Italy,13 Sep 1953,Juan Manuel FangioFAN,Maserati,80
