Year,Position,Driver,Car,Laps,Points
2023,1,Lando NorrisNOR,McLaren Mercedes,58,25
2023,2,Carlos SainzSAI,Ferrari,58,18
2023,3,Charles LeclercLEC,Ferrari,58,15
2023,4,Lewis HamiltonHAM,Mercedes,58,12
2023,5,George RussellRUS,Mercedes,58,10
2023,6,Max VerstappenVER,Red Bull Racing Honda RBPT,58,8
2023,7,Pierre GaslyGAS,Alpine Renault,58,6
2023,8,Nico HulkenbergHUL,Haas Ferrari,58,4
2023,9,Fernando AlonsoALO,Aston Martin Aramco Mercedes,58,2
2023,10,Oscar PiastriPIA,McLaren Mercedes,58,1
2023,11,Alexander AlbonALB,Williams Mercedes,57,0
2023,12,Yuki TsunodaTSU,RB Honda RBPT,57,0
2023,13,Zhou GuanyuZHO,Kick Sauber Ferrari,57,0
2023,14,Lance StrollSTR,Aston Martin Aramco Mercedes,57,0
2023,15,Jack DoohanDOO,Alpine Renault,57,0
2023,16,Kevin MagnussenMAG,Haas Ferrari,57,0
2023,17,Liam LawsonLAW,RB Honda RBPT,55,0
2023,NC,Valtteri BottasBOT,Kick Sauber Ferrari,30,0
2023,NC,Franco ColapintoCOL,Williams Mercedes,26,0
2023,NC,Sergio PerezPER,Red Bull Racing Honda RBPT,0,0
