Position,Driver,Car,Laps,Points
1,Lando NorrisNOR,McLaren Mercedes,58,25
2,Carlos SainzSAI,Ferrari,58,18
3,Charles LeclercLEC,Ferrari,58,15
4,Lewis HamiltonHAM,Mercedes,58,12
5,George RussellRUS,Mercedes,58,10
6,Max VerstappenVER,Red Bull Racing Honda RBPT,58,8
7,Pierre GaslyGAS,Alpine Renault,58,6
8,Nico HulkenbergHUL,Haas Ferrari,58,4
9,Fernando AlonsoALO,Aston Martin Aramco Mercedes,58,2
10,Oscar PiastriPIA,McLaren Mercedes,58,1
11,Alexander AlbonALB,Williams Mercedes,57,0
12,Yuki TsunodaTSU,RB Honda RBPT,57,0
13,Zhou GuanyuZHO,Kick Sauber Ferrari,57,0
14,Lance StrollSTR,Aston Martin Aramco Mercedes,57,0
15,Jack DoohanDOO,Alpine Renault,57,0
16,Kevin MagnussenMAG,Haas Ferrari,57,0
17,Liam LawsonLAW,RB Honda RBPT,55,0
NC,Valtteri BottasBOT,Kick Sauber Ferrari,30,0
NC,Franco ColapintoCOL,Williams Mercedes,26,0
NC,Sergio PerezPER,Red Bull Racing Honda RBPT,0,0
